type,adname,location,name,address
风景名胜;风景名胜;风景名胜,新津县,"103.900900,30.487600",成都瞿上城遗址,\u5357\u5341\u516b\u91cc
风景名胜;风景名胜相关;旅游景点,新都区,"104.160717,30.831185",宝光寺-天台胜境,\u5b9d\u5149\u8857\u4e0e\u897f\u6731\u8def\u4ea4\u53c9\u53e3\u897f\u5317200\u7c73
地名地址信息;普通地名;村庄级地名,蒲江县,"103.331709,30.275626",明月窑,\u84b2\u6c5f\u53bf
生活服务;生活服务场所;生活服务场所,金牛区,"104.034689,30.719115",华侨城·品牌展示中心,\u91d1\u946b\u5927\u90538\u53f7\u9644\u8fd1
风景名胜;风景名胜;风景名胜,温江区,"103.834594,30.751153",鱼凫村遗址,\u90eb\u6e29\u8def\u4e1c150\u7c73
风景名胜;风景名胜;风景名胜,金堂县,"104.837363,30.519136",南华宫,\u5357\u534e\u885727\u9644\u8fd1
风景名胜;风景名胜;风景名胜,邛崃市,"103.311164,30.360489",芦沟竹海-邛人遗址,\u5e73\u4e50\u9547\u82a6\u6c9f\u7af9\u6d77\u5185
风景名胜;风景名胜;风景名胜,邛崃市,"103.299689,30.331191",金华山,\u5e73\u4e50\u9547
风景名胜;风景名胜;风景名胜,金堂县,"104.540407,30.663727",何氏故居,\u987a\u6c5f\u8857162\u53f7\u9644\u8fd1
购物服务;专卖店;珠宝首饰工艺品,都江堰市,"103.614646,30.997911",般若菩提,\u897f\u885765-67
风景名胜;风景名胜;风景名胜,邛崃市,"103.333978,30.344477",平乐古镇-太岁宫,\u53e4\u9547\u53e4\u620f\u53f0
风景名胜;风景名胜;风景名胜,大邑县,"103.429020,30.529717",新场古镇-百年历史影像馆,\u65b0\u573a\u9547\u5ddd\u897f\u575d\u5b50\u8bb0\u5fc6\u9986\u767e\u5e74\u5386\u53f2\u5f71\u50cf\u9986
风景名胜;风景名胜;纪念馆,大邑县,"103.618280,30.508787",安仁古镇-刘元瑄公馆,\u6811\u4eba\u885744\u53f7
风景名胜;风景名胜;国家级景点,新津县,"103.802659,30.368714",梨花溪风景区-清泉花海,\u68a8\u9a6c\u8def\u9644\u8fd1
